id,shop_id,e_time
1,21139507,"[{'word': 'to', 'count': 13}, {'word': 'you', 'count': 12}, {'word': 'for', 'count': 10}, {'word': 'or', 'count': 8}, {'word': 'the', 'count': 8}]",1568338833.5000744
2,21139327,"[{'word': 'a', 'count': 4}, {'word': 'and', 'count': 3}, {'word': 'with', 'count': 3}, {'word': 'sports', 'count': 2}, {'word': 'also', 'count': 1}]",1568338833.5001173
3,21139109,"[{'word': 'the', 'count': 7}, {'word': 'on', 'count': 5}, {'word': 'logo', 'count': 4}, {'word': 'iron', 'count': 4}, {'word': '', 'count': 3}]",1568338833.500149
4,21138983,"[{'word': 'for', 'count': 3}, {'word': 'the', 'count': 3}, {'word': 'to', 'count': 3}, {'word': 'in', 'count': 2}, {'word': 'all', 'count': 2}]",1568338833.5001771
5,21138925,"[{'word': '', 'count': 14}, {'word': 'you', 'count': 11}, {'word': 'your', 'count': 11}, {'word': 'to', 'count': 8}, {'word': 'the', 'count': 8}]",1568338833.5002153
6,21138873,"[{'word': 'Error Code Status 404', 'count': 1}]",1568338833.5002613
7,21138615,"[{'word': 'you', 'count': 17}, {'word': 'or', 'count': 15}, {'word': 'to', 'count': 15}, {'word': 'the', 'count': 14}, {'word': 'your', 'count': 13}]",1568338833.500285
8,21138341,"[{'word': '', 'count': 14}, {'word': 'you', 'count': 11}, {'word': 'your', 'count': 11}, {'word': 'to', 'count': 8}, {'word': 'the', 'count': 8}]",1568338833.5003362
9,21137261,"[{'word': 'files', 'count': 5}, {'word': 'svg', 'count': 4}, {'word': 'for', 'count': 3}, {'word': '', 'count': 2}, {'word': 'vector', 'count': 2}]",1568338833.5003664
10,21136971,"[{'word': 'files', 'count': 5}, {'word': 'bears', 'count': 5}, {'word': 'floss', 'count': 4}, {'word': 'svg', 'count': 3}, {'word': 'download', 'count': 2}]",1568338833.5003939
